0,1,2,3
Baldur's Gate III,9.5,2020,Larian Studios NV
Super Mario Odyssey,9.5,2017,Nintendo EPD
Persona 5: Royal,9.3,2019,"Atlus Co., Ltd."
The Legend of Zelda: Tears of the Kingdom,9.3,2023,Nintendo EPD
The Legend of Zelda: Breath of the Wild,9.3,2017,Nintendo EPD
Metroid Prime: Remastered,9.3,2023,Retro Studios Inc.
Elden Ring,9.2,2022,"FromSoftware, Inc."
God of War: Ragnarök,9.2,2022,SIE Santa Monica Studio
Super Mario Galaxy,9.2,2007,Nintendo EAD
The Legend of Zelda: Ocarina of Time 3D,9.1,2011,"Grezzo Co., Ltd."
Super Mario Galaxy 2,9.1,2010,Nintendo EAD
Resident Evil 4,9.1,2023,"Capcom Co., Ltd."
Hades,9.1,2018,"Supergiant Games, Inc."
Persona 5,9.1,2016,"Atlus Co., Ltd."
Uncharted 4: A Thief's End,9.1,2016,"Naughty Dog, Inc."
Uncharted 2: Among Thieves,9.1,2009,"Naughty Dog, Inc."
Portal 2,9.0,2011,Valve Corporation
Super Mario 3D World,9.0,2013,Nintendo EAD
Resident Evil 4,9.0,2005,Capcom Production Studio 4
Persona 5: Royal,9.0,2022,"Atlus Co., Ltd."
Persona 4 Golden,9.0,2012,Index Corporation
Mass Effect 2,9.0,2011,BioWare Edmonton
Final Fantasy VII: Rebirth,9.0,2024,Square Enix Creative Business Unit I
Xenoblade Chronicles,9.0,2010,"Monolith Software, Inc."
Red Dead Redemption II,9.0,2018,Rockstar Leeds Ltd.
Ōkami,9.0,2006,"Clover Studio Co., Ltd."
Balatro,9.0,2024,LocalThunk Inc.
Mario Kart 8 Deluxe,9.0,2017,Nintendo EAD
Like a Dragon: Infinite Wealth,9.0,2024,Ryu ga Gotoku Studio
God of War,9.0,2018,SIE Santa Monica Studio
Final Fantasy VII: Remake,9.0,2020,"Square Enix Co., Ltd."
The Witcher 3: Wild Hunt (NSFW),8.9,2015,CD Projekt RED
Red Dead Redemption,8.9,2010,"Rockstar San Diego, Inc."
The Orange Box,8.9,2007,Valve Corporation
Bayonetta 2,8.9,2014,Platinum Games Inc.
Street Fighter 6,8.9,2023,"Capcom Co., Ltd."
Batman: Arkham City,8.9,2011,Rocksteady Studios Ltd
Super Mario Bros. Wonder,8.9,2023,Nintendo EPD
Resident Evil 2,8.9,2019,"Capcom Co., Ltd."
Gears of War 2,8.9,2008,"Epic Games, Inc."
Tetris Effect,8.9,2018,Resonair Inc.
God of War II (NSFW),8.9,2007,SCE Studio Santa Monica
The Legend of Zelda: Twilight Princess,8.9,2006,Nintendo EAD
Super Smash Bros. Ultimate,8.9,2018,BANDAI NAMCO Studios Inc.
Forza Motorsport,8.9,2005,Turn 10 Studios
God of War: Chains of Olympus (NSFW),8.9,2008,"Ready at Dawn Studios, LLC"
Hollow Knight,8.9,2017,Team Cherry
Tekken 8,8.9,2024,"Arika Co., Ltd."
LittleBigPlanet,8.9,2008,Media Molecule Ltd.
Guild Wars 2,8.9,2012,"ArenaNet, LLC"
Ninja Gaiden Black,8.9,2005,Team Ninja
Company of Heroes,8.9,2006,Relic Entertainment Inc
Super Smash Bros. Brawl,8.9,2008,"Game Arts Co., Ltd."
Journey,8.9,2012,"thatgamecompany, LLC"
Metal Gear Solid 4: Guns of the Patriots,8.9,2008,"Kojima Productions Co., Ltd."
Bloodborne,8.9,2015,"FromSoftware, Inc."
