Title,Portátil,Max_Jugadores,Multiplataforma,Online,Genre,Licenciado,Desarrollador,Secuela,Puntuacion_Reseña,Rating,Fecha_Lanzamineto,Length.All PlayStyles.Average,Length.All PlayStyles.Leisure,Length.All PlayStyles.Median,Length.All PlayStyles.Polled,Length.All PlayStyles.Rushed,Length.Completionists.Average,Length.Completionists.Leisure,Length.Completionists.Median,Length.Completionists.Polled,Length.Completionists.Rushed,Length.Main + Extras.Average,Length.Main + Extras.Leisure,Length.Main + Extras.Median,Length.Main + Extras.Polled,Length.Main + Extras.Rushed,Length.Main Story.Average,Length.Main Story.Leisure,Length.Main Story.Median,Length.Main Story.Polled,Length.Main Story.Rushed
Super Mario 64 DS,True,1,True,True,Action,True,Nintendo,True,85,E,2004,22.7166666666667,31.9,24.4833333333333,57,14.3,29.7666666666667,35.0333333333333,30,20,22.0166666666667,24.9166666666667,29.9666666666667,25,16,18.3333333333333,14.3333333333333,18.3166666666667,14.5,21,9.7
Lumines: Puzzle Fusion,True,1,True,True,Strategy,True,Ubisoft,True,89,E,2004,10.1,11.0166666666667,10,5,9.51666666666667,0,0,0,0,0,9.75,9.86666666666667,9.75,2,9.61666666666667,10.3333333333333,11.0833333333333,10,3,9.58333333333333
WarioWare Touched!,True,2,True,True,"Action,Racing / Driving,Sports",True,Nintendo,True,81,E,2004,4.56666666666667,11.5666666666667,2.5,57,2.26666666666667,10,14.1,7.25,16,6.8,3.85,5.66666666666667,3.33333333333333,11,2.78333333333333,1.91666666666667,2.93333333333333,1.83333333333333,30,1.43333333333333
Hot Shots Golf: Open Tee,True,1,True,True,Sports,True,Sony,True,81,E,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spider-Man 2,True,1,True,True,Action,True,Activision,True,61,E,2004,13.25,48.3833333333333,10,37,7.06666666666667,72.5666666666667,78.8666666666667,72.5666666666667,2,66.2833333333333,12.7666666666667,17.3166666666667,12.5,12,10.4833333333333,8.35,11.0833333333333,8,23,5.33333333333333
The Urbz: Sims in the City,True,1,True,True,Simulation,True,EA,True,67,M,2004,21.9333333333333,25.5,20,7,16.7333333333333,30.0333333333333,30.0333333333333,30.0333333333333,2,30.0333333333333,20.8333333333333,25.2,20,3,16.45,15.5,15.75,15.5,2,15.25
Ridge Racer,True,1,True,True,Racing / Driving,True,Namco,True,88,E,2004,0.816666666666667,1.05,0.883333333333333,6,0.583333333333333,1.25,1.25,1.25,1,1.25,0.883333333333333,0.933333333333333,0.883333333333333,2,0.833333333333333,0.616666666666667,0.783333333333333,0.533333333333333,3,0.45
Metal Gear Ac!d,True,1,True,True,Strategy,True,Konami,True,75,E,2004,25.3833333333333,51.65,21.2666666666667,18,19.1666666666667,80,80,80,1,80,24.8333333333333,27.4833333333333,25.1,6,21.9166666666667,20.7,23.6,20.7833333333333,11,17.8833333333333
Madden NFL 2005,True,1,True,True,Sports,True,EA,True,68,T,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pokmon Dash,True,1,True,True,Racing / Driving,True,Nintendo,True,46,T,2004,3.83333333333333,7.25,1.18333333333333,4,1.75,12,12,12,1,12,0,0,0,0,0,1.11666666666667,1.2,1.08333333333333,3,1.05
Dynasty Warriors,True,1,True,True,"Action,Adventure,Role-Playing (RPG)",True,,True,62,E,2004,8.88333333333333,18.05,2.08333333333333,4,3.11666666666667,0,0,0,0,0,0,0,0,0,0,8.88333333333333,18.05,2.08333333333333,4,3.11666666666667
Feel the Magic XY/XX,True,1,True,True,"Action,Adventure,Racing / Driving,Sports",True,Sega,True,75,T,2004,2.9,3.8,3,9,2.31666666666667,0,0,0,0,0,3.1,3.15,3.1,2,3.05,2.85,3.78333333333333,2.98333333333333,7,2.3
Ridge Racer DS,True,1,True,True,Racing / Driving,True,Namco,True,63,E,2004,2.23333333333333,2.23333333333333,2.23333333333333,1,2.23333333333333,0,0,0,0,0,0,0,0,0,0,2.23333333333333,2.23333333333333,2.23333333333333,1,2.23333333333333
Darkstalkers Chronicle: The Chaos Tower,True,1,True,True,Action,True,Capcom,True,74,E,2004,1.63333333333333,2.4,2,7,1.06666666666667,0,0,0,0,0,0,0,0,0,0,1.63333333333333,2.4,2,7,1.06666666666667
