Platform,Games,Companies,Years
Windows,"76,095 games","28,389 companies",1991 - 2023
Macintosh,"23,082 games","10,475 companies",1984 - 2023
PlayStation 4,"22,437 games","7,468 companies",2013 - 2023
Xbox One,"16,293 games","6,305 companies",2013 - 2023
PlayStation 3,"15,112 games","3,012 companies",2006 - 2022
Nintendo Switch,"12,066 games","7,600 companies",2017 - 2023
iPhone,"11,496 games","7,165 companies",2008 - 2023
iPad,"10,899 games","6,752 companies",2009 - 2023
Linux,"10,756 games","5,318 companies",1991 - 2023
Android,"10,552 games","6,901 companies",2007 - 2023
Xbox 360,"9,284 games","3,032 companies",2005 - 2020
DOS,"8,151 games","3,587 companies",1981 - 2023
Commodore 64,"5,570 games","1,755 companies",1982 - 2023
Browser,"4,644 games","2,062 companies",1994 - 2023
PS Vita,"4,398 games","1,851 companies",2011 - 2022
Amiga,"3,910 games","1,732 companies",1985 - 2022
ZX Spectrum,"3,488 games","1,050 companies",1982 - 2023
PlayStation 2,"3,423 games","2,180 companies",2000 - 2015
Windows Apps,"3,197 games","2,661 companies",2012 - 2023
Arcade,"3,078 games",857 companies,1950 - 2022
Xbox Series,"2,974 games","3,714 companies",2016 - 2023
Apple II,"2,874 games",794 companies,1977 - 2023
PlayStation,"2,789 games","1,787 companies",1994 - 2020
Wii,"2,663 games","1,787 companies",2006 - 2020
Atari ST,"2,497 games","1,029 companies",1985 - 2021
PSP,"2,450 games","1,629 companies",2004 - 2022
Nintendo DS,"2,301 games","1,660 companies",2004 - 2020
Amstrad CPC,"2,237 games",746 companies,1984 - 2023
PlayStation 5,"2,198 games","2,802 companies",2020 - 2023
Atari 8-bit,"2,068 games",574 companies,1979 - 2023
Nintendo 3DS,"1,888 games","1,158 companies",2011 - 2022
Windows 3.x,"1,860 games","1,546 companies",1988 - 2020
Wii U,"1,588 games","1,080 companies",2012 - 2022
NES,"1,426 games",593 companies,1983 - 2022
PC-98,"1,400 games",458 companies,1983 - 2023
TRS-80,"1,327 games",225 companies,1977 - 2023
MSX,"1,300 games",530 companies,1983 - 2023
SNES,"1,215 games",784 companies,1990 - 2021
J2ME,"1,192 games",670 companies,2000 - 2018
Game Boy Advance,"1,167 games",825 companies,2001 - 2020
TRS-80 CoCo,"1,052 games",263 companies,1980 - 2023
Genesis,"1,016 games",639 companies,1988 - 2023
Xbox,"1,015 games","1,027 companies",2001 - 2016
VIC-20,920 games,279 companies,1980 - 2023
Windows Phone,826 games,693 companies,2010 - 2023
SEGA Saturn,727 games,650 companies,1994 - 2000
Game Boy,721 games,497 companies,1989 - 2023
Commodore PET/CBM,708 games,121 companies,1977 - 2023
Dedicated handheld,677 games,279 companies,1976 - 2021
Antstream,656 games,257 companies,2019 - 2023
Game Boy Color,622 games,532 companies,1998 - 2022
Mainframe,622 games,78 companies,1948 - 1994
GameCube,621 games,695 companies,2001 - 2015
Atari 2600,598 games,186 companies,1977 - 2021
Nintendo DSi,592 games,306 companies,2008 - 2016
tvOS,578 games,820 companies,2015 - 2023
BBC Micro,557 games,230 companies,1981 - 2023
PC-88,557 games,207 companies,1981 - 2023
Dreamcast,551 games,567 companies,1998 - 2022
Dedicated console,534 games,490 companies,1956 - 2021
FM Towns,511 games,212 companies,1989 - 2020
"Commodore 16, Plus/4",499 games,181 companies,1984 - 2023
Blacknut,480 games,705 companies,2018 - 2022
Sharp X68000,476 games,207 companies,1987 - 2022
