Titulo,Compañia_Desarrollo,Fecha_Lanzamiento,Genero,Plataforma,Multiplataforma,Portátil,Online,Max_Jugadores,Rating,Ranking,Puntuacion_Reseña,Secuela,Licenciado,Ventas_NA,Ventas_EU,Ventas_JP,Ventas_Otros,Ventas_Globales,Ventas_estimadas,Exitoso
Minecraft,Microsoft Game Studios,2013.0,Sandbox,X360,False,False,False,0.0,Desconocido,73.0,0.0,False,False,5.58,2.83,0.02,0.77,9200000.0,238.0,True
Minecraft,Sony Computer Entertainment,2014.0,Sandbox,PS3,False,False,False,0.0,Desconocido,169.0,0.0,False,False,1.97,2.51,0.0,0.94,5420000.0,238.0,True
Minecraft,Sony Computer Entertainment Europe,2014.0,Sandbox,PS4,False,False,False,0.0,Desconocido,298.0,0.0,False,False,1.38,1.87,0.12,0.65,4019999.9999999995,238.0,True
Minecraft,Microsoft Game Studios,2014.0,Sandbox,XOne,False,False,False,0.0,Desconocido,644.0,0.0,False,False,1.43,0.76,0.0,0.22,2410000.0,238.0,True
Minecraft,Sony Computer Entertainment Europe,2014.0,Sandbox,PSV,False,False,False,0.0,Desconocido,715.0,0.0,False,False,0.28,0.79,0.87,0.32,2250000.0,238.0,True
Minecraft,Microsoft Game Studios,2016.0,Sandbox,WiiU,False,False,False,0.0,Desconocido,4515.0,0.0,False,False,0.18,0.09,0.14,0.03,430000.0,238.0,False
Grand_Theft_Auto_V,Take-Two Interactive,2013.0,Action,PS3,False,False,False,0.0,Desconocido,17.0,0.0,False,False,7.01,9.27,0.97,4.14,21400000.0,180.0,True
Grand_Theft_Auto_V,Take-Two Interactive,2013.0,Action,X360,False,False,False,0.0,Desconocido,24.0,0.0,False,False,9.63,5.31,0.06,1.38,16379999.999999998,180.0,True
Grand_Theft_Auto_V,Take-Two Interactive,2014.0,Action,PS4,False,False,False,0.0,Desconocido,45.0,0.0,False,False,3.8,5.81,0.36,2.02,11980000.0,180.0,True
Grand_Theft_Auto_V,Take-Two Interactive,2014.0,Action,XOne,False,False,False,0.0,Desconocido,198.0,0.0,False,False,2.66,2.01,0.0,0.41,5080000.0,180.0,True
Grand_Theft_Auto_V,Take-Two Interactive,2015.0,Action,PC,False,False,False,0.0,Desconocido,1898.0,0.0,False,False,0.36,0.64,0.0,0.08,1080000.0,180.0,True
Tetris_(EA),Desconocido,0.0,Puzzle,Desconocido,False,False,False,0.0,Desconocido,0.0,0.0,False,False,0,0.0,0.0,0.0,0.0,100.0,False
Wii_Sports,Nintendo,2006.0,Sports,Wii,False,False,False,0.0,Desconocido,1.0,0.0,False,False,41.49,29.02,3.77,8.46,82740000.0,82.9,True
PUBG,Desconocido,0.0,Action,Desconocido,False,False,False,0.0,Desconocido,0.0,0.0,False,False,0,0.0,0.0,0.0,0.0,75.0,False
Mario_Kart_8_/_Deluxe,Desconocido,0.0,Racing,Desconocido,False,False,False,0.0,Desconocido,0.0,0.0,False,False,0,0.0,0.0,0.0,0.0,60.0,False
Super_Mario_Bros.,Nintendo,1985.0,Platform,NES,False,False,False,0.0,Desconocido,2.0,0.0,False,False,29.08,3.58,6.81,0.77,40240000.0,58.0,True
Super_Mario_Bros.,Nintendo,1999.0,Platform,GB,False,False,False,0.0,Desconocido,201.0,0.0,False,False,3.4,1.3,0.15,0.22,5070000.0,58.0,True
Red_Dead_Redemption_2,Desconocido,0.0,Action,Desconocido,False,False,False,0.0,Desconocido,0.0,0.0,False,False,0,0.0,0.0,0.0,0.0,53.0,False
The_Witcher_3,Desconocido,0.0,Adventure,Desconocido,False,False,False,0.0,Desconocido,0.0,0.0,False,False,0,0.0,0.0,0.0,0.0,50.0,False
Pokémon_Rojo_/_Verde_/_Azul_/_Amarillo,Desconocido,0.0,Role-Playing,Desconocido,False,False,False,0.0,Desconocido,0.0,0.0,False,False,0,0.0,0.0,0.0,0.0,47.52,False
Terraria,505 Games,2013.0,Adventure,X360,False,False,False,0.0,Desconocido,2843.0,0.0,False,False,0.35,0.31,0.0,0.06,720000.0,44.5,True
Terraria,505 Games,2013.0,Adventure,PS3,False,False,False,0.0,Desconocido,4053.0,0.0,False,False,0.07,0.26,0.09,0.07,490000.0,44.5,False
Terraria,Unknown,2011.0,Adventure,PC,False,False,False,0.0,Desconocido,8846.0,0.0,False,False,0,0.13,0.0,0.02,150000.0,44.5,False
Terraria,Screenlife,2013.0,Adventure,PSV,False,False,False,0.0,Desconocido,10260.0,0.0,False,False,0,0.01,0.09,0.0,110000.0,44.5,False
Terraria,505 Games,2016.0,Adventure,3DS,False,False,False,0.0,Desconocido,11620.0,0.0,False,False,0,0.03,0.04,0.0,80000.0,44.5,False
Terraria,505 Games,2014.0,Adventure,PS4,False,False,False,0.0,Desconocido,12442.0,0.0,False,False,0,0.05,0.01,0.01,60000.0,44.5,False
